"Year","Tournament/Event","Category","Winner","Runner-up","Semi-finalists","Quarter-finalists/Other Rounds","Currency","Source URL","Notes"
"2026","Malaysia Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Per-round discipline payout table not available from accessible official source in this environment. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Malaysia Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Malaysia Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Malaysia Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Malaysia Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","All England Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Indonesia Open (Super 1000)","MS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Indonesia Open (Super 1000)","WS","101,500.00","49,300.00","20,300.00","QF: 7,975.00; R16: 4,350.00; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Indonesia Open (Super 1000)","MD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Indonesia Open (Super 1000)","WD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","Indonesia Open (Super 1000)","XD","107,300.00","50,750.00","20,300.00","QF: 9,062.50; R16: 4,712.50; R32: 1,450.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 1,450,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","China Open (Super 1000)","MS","140,000.00","68,000.00","28,000.00","QF: 11,000.00; R16: 6,000.00; R32: 2,000.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 2,000,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","China Open (Super 1000)","WS","140,000.00","68,000.00","28,000.00","QF: 11,000.00; R16: 6,000.00; R32: 2,000.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 2,000,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","China Open (Super 1000)","MD","148,000.00","70,000.00","28,000.00","QF: 12,500.00; R16: 6,500.00; R32: 2,000.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 2,000,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","China Open (Super 1000)","WD","148,000.00","70,000.00","28,000.00","QF: 12,500.00; R16: 6,500.00; R32: 2,000.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 2,000,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","China Open (Super 1000)","XD","148,000.00","70,000.00","28,000.00","QF: 12,500.00; R16: 6,500.00; R32: 2,000.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published: 2,000,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 2 (Grade 2, Level 2 & 3)."
"2026","World Tour Finals","MS","280,000.00","140,000.00","70,000.00","3rd in Group: 38,500.00; 4th in Group: 21,000.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published (season source): 3,500,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 1 (Grade 2, Level 1)."
"2026","World Tour Finals","WS","280,000.00","140,000.00","70,000.00","3rd in Group: 38,500.00; 4th in Group: 21,000.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published (season source): 3,500,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 1 (Grade 2, Level 1)."
"2026","World Tour Finals","MD","294,000.00","140,000.00","70,000.00","3rd in Group: 45,500.00; 4th in Group: 24,500.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published (season source): 3,500,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 1 (Grade 2, Level 1)."
"2026","World Tour Finals","WD","294,000.00","140,000.00","70,000.00","3rd in Group: 45,500.00; 4th in Group: 24,500.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published (season source): 3,500,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 1 (Grade 2, Level 1)."
"2026","World Tour Finals","XD","294,000.00","140,000.00","70,000.00","3rd in Group: 45,500.00; 4th in Group: 24,500.00","USD","https://system.bwfbadminton.com/documents/folder_1_81/Statutes/CHAPTER-5---TECHNICAL-REGULATIONS/Section%205.3.5%20-%20Distribution%20of%20Prize%20Money.pdf","Total purse published (season source): 3,500,000. Round payouts computed from BWF Statutes Section 5.3.5 Table 1 (Grade 2, Level 1)."
"2026","Asian Championships (major continental event)","MS","N/A","N/A","N/A","N/A","N/A","https://en.wikipedia.org/wiki/Badminton_Asia_Championships","Included as major continental placeholder; official per-round prize distribution not found in accessible official source during this run."
"2026","Asian Championships (major continental event)","WS","N/A","N/A","N/A","N/A","N/A","https://en.wikipedia.org/wiki/Badminton_Asia_Championships","Included as major continental placeholder; official per-round prize distribution not found in accessible official source during this run."
"2026","Asian Championships (major continental event)","MD","N/A","N/A","N/A","N/A","N/A","https://en.wikipedia.org/wiki/Badminton_Asia_Championships","Included as major continental placeholder; official per-round prize distribution not found in accessible official source during this run."
"2026","Asian Championships (major continental event)","WD","N/A","N/A","N/A","N/A","N/A","https://en.wikipedia.org/wiki/Badminton_Asia_Championships","Included as major continental placeholder; official per-round prize distribution not found in accessible official source during this run."
"2026","Asian Championships (major continental event)","XD","N/A","N/A","N/A","N/A","N/A","https://en.wikipedia.org/wiki/Badminton_Asia_Championships","Included as major continental placeholder; official per-round prize distribution not found in accessible official source during this run."
